dataset_name,classifier_name,accuracy
wisdm:3->5,OTDA,0.347826087
hhar:g->h,VRADA,0.770471464
ptbXLecg:0->1,SASA,0.5846817691
mfd:1->2,InceptionRain,0.9023307436
sleepStage:0->11,OTDA,0.5183044316000001
har:9->18,Raincoat,0.7454545455
ultrasoundMuscleContraction:subject5->subject3,Inception,0.45218543050000004
miniTimeMatch:DK1->FR1,Inception,0.7489604990000001
sleepStage:7->18,OTDA,0.3144876325
wisdm:5->1,CoTMix,0.4791666667
har:12->16,SASA,0.5545454545
ultrasoundMuscleContraction:subject7->subject2,Inception,0.5275000000000001
sleepStage:9->14,Inception,0.6831345826
mfd:1->3,InceptionDANN,0.9944506104
hhar:i->a,InceptionMix,0.6715817694
ptbXLecg:1->3,Inception,0.6753246753000001
sleepStage:0->11,InceptionMix,0.4007707129
hhar:e->f,Inception,0.7079889807
ultrasoundMuscleContraction:subject1->subject8,CoTMix,0.595375
mfd:0->3,SASA,0.5016648169
har:12->16,Inception,0.6000000000000001
ultrasoundMuscleContraction:subject5->subject4,SASA,0.47425000000000006
ptbXLecg:1->0,Inception,0.6998525074
OnHWeq:OnHW_equations_R->OnHW_equations_L,CoDATS,0.4761146497
sportsActivities:p1->p8,CoTMix,0.2894736842
cwrBearing:1->3,InceptionDANN,0.9473273508000001
sportsActivities:p4->p2,InceptionDANN,0.8026315789
wisdm:3->5,Raincoat,0.652173913
cwrBearing:2->0,InceptionMix,0.8470964305
ptbXLecg:1->3,InceptionDANN,0.5974025974
mfd:0->1,Raincoat,0.4539400666
wisdm:27->3,CoTMix,0.4310344828
OnHWeq:OnHW_equations_L->OnHW_equations_R,InceptionDANN,0.41486588750000003
cwrBearing:0->1,InceptionMix,0.9293650794
wisdm:7->30,InceptionCDAN,0.24390243900000003
cwrBearing:0->3,InceptionDANN,0.8482247366000001
ptbXLecg:0->2,Raincoat,0.6073298429
sleepStage:7->18,InceptionRain,0.777385159
cwrBearing:3->0,Inception,0.8492274907
ultrasoundMuscleContraction:subject1->subject8,Raincoat,0.403375
wisdm:3->5,InceptionMix,0.7608695652
sleepStage:7->18,CoTMix,0.6925795053
wisdm:7->30,InceptionDANN,0.0975609756
sportsActivities:p4->p5,Inception,0.6271929825
hhar:i->a,InceptionSASA,0.3847184987
miniTimeMatch:FR2->DK1,InceptionSASA,0.2830907831
har:6->23,InceptionMix,0.7946428571
wisdm:21->31,InceptionDANN,0.5070422535
sportsActivities:p5->p6,InceptionSASA,0.3596491228
ptbXLecg:0->2,InceptionCDAN,0.6740837696
hhar:a->b,Inception,0.5042117930000001
