dataset_name,classifier_name,accuracy
wisdm:5->1,OTDA,0.4166666667
sleepStage:16->1,Inception,0.5705967977
OnHWeq:OnHW_equations_R->OnHW_equations_L,InceptionSASA,0.41348195330000004
miniTimeMatch:FR2->DK1,CoDATS,0.4346846847
hhar:g->h,InceptionSASA,0.452853598
har:13->7,Inception,0.7849462366000001
miniTimeMatch:FR1->FR2,SASA,0.1328828829
ptbXLecg:1->3,Raincoat,0.5714285714
ultrasoundMuscleContraction:subject8->subject6,InceptionMix,0.271
ultrasoundMuscleContraction:subject3->subject5,SASA,0.359
miniTimeMatch:FR1->FR2,InceptionSASA,0.7326749827
OnHWeq:OnHW_equations_L->OnHW_equations_R,VRADA,0.3476835113
miniTimeMatch:FR1->FR2,InceptionRain,0.9154539155
wisdm:21->31,VRADA,0.3802816901
sleepStage:9->14,OTDA,0.4037478705
cwrBearing:0->3,Inception,0.7877487320000001
cwrBearing:0->1,InceptionSASA,0.6674603175
ultrasoundMuscleContraction:subject2->subject7,InceptionRain,0.5395
sportsActivities:p1->p8,SASA,0.46052631580000003
ultrasoundMuscleContraction:subject2->subject7,CoTMix,0.5
miniTimeMatch:DK1->FR1,InceptionRain,0.8465003465000001
ptbXLecg:0->3,VRADA,0.5714285714
ford:FordA->FordB,InceptionMix,0.5061728395
miniTimeMatch:DK1->FR1,OTDA,0.4391891892
hhar:e->f,Raincoat,0.8663911846000001
ptbXLecg:0->2,InceptionDANN,0.6138743455
sleepStage:18->7,Inception,0.7437037037
wisdm:7->30,Raincoat,0.24390243900000003
sleepStage:12->5,Raincoat,0.8107638889000001
ptbXLecg:1->3,InceptionSASA,0.5844155844000001
miniTimeMatch:AT1->FR2,InceptionSASA,0.533957034
cwrBearing:0->3,CoTMix,0.7815060476
OnHWeq:OnHW_equations_L->OnHW_equations_R,CoDATS,0.6326410494
cwrBearing:0->3,OTDA,0.602809208
sleepStage:7->18,CoDATS,0.519434629
miniTimeMatch:FR1->FR2,Inception,0.8605336105
miniTimeMatch:AT1->FR2,Raincoat,0.8404365904000001
ultrasoundMuscleContraction:subject6->subject8,Inception,0.437
mfd:1->3,InceptionSASA,0.4883462819
hhar:g->h,CoDATS,0.8176178660000001
ford:FordB->FordA,VRADA,0.49242424240000005
sportsActivities:p4->p2,InceptionMix,0.5394736842
ultrasoundMuscleContraction:subject8->subject1,Inception,0.38021739130000004
har:9->18,CoDATS,0.9272727273
har:7->13,InceptionMix,0.8181818182
har:18->9,Inception,0.37931034480000003
miniTimeMatch:FR2->DK1,InceptionMix,0.1401593902
cwrBearing:3->0,InceptionCDAN,0.9259456580000001
wisdm:5->1,SASA,0.4166666667
hhar:i->a,SASA,0.4289544236
wisdm:3->5,InceptionCDAN,0.6304347826000001
ultrasoundMuscleContraction:subject5->subject4,InceptionMix,0.456
hhar:c->d,CoDATS,0.7168021680000001
hhar:a->b,CoTMix,0.697954272
sleepStage:16->1,Raincoat,0.6579330422
har:2->11,Inception,0.6842105263
har:9->18,InceptionMix,0.9363636364000001
ptbXLecg:2->0,Inception,0.6578171091
miniTimeMatch:FR1->AT1,OTDA,0.4391891892
sleepStage:12->5,InceptionDANN,0.6145833333
wisdm:5->1,Inception,0.0416666667
miniTimeMatch:DK1->FR1,CoDATS,0.72002772
cwrBearing:0->1,CoTMix,0.8611111111
sportsActivities:p5->p4,InceptionCDAN,0.6754385965
ptbXLecg:0->1,CoTMix,0.5070118662
ultrasoundMuscleContraction:subject8->subject6,CoDATS,0.355
ultrasoundMuscleContraction:subject5->subject4,InceptionDANN,0.48125000000000007
sleepStage:7->18,InceptionSASA,0.5565371025
hhar:i->a,CoTMix,0.5589812332
miniTimeMatch:AT1->FR2,OTDA,0.4391891892
sleepStage:16->1,InceptionDANN,0.6244541485
hhar:e->f,CoTMix,0.8402203857
sportsActivities:p4->p2,InceptionCDAN,0.3157894737
ultrasoundMuscleContraction:subject8->subject6,Raincoat,0.645
mfd:1->2,CoTMix,0.6748057714
mfd:1->0,Raincoat,0.4972253052
ultrasoundMuscleContraction:subject5->subject4,InceptionCDAN,0.49250000000000005
wisdm:3->5,CoTMix,0.6086956522
mfd:1->0,InceptionMix,0.4450610433
hhar:c->d,InceptionMix,0.5975609756
sportsActivities:p5->p6,SASA,0.32017543860000003
hhar:a->b,SASA,0.43561973530000003
sleepStage:9->14,InceptionSASA,0.42930153320000003
ultrasoundMuscleContraction:subject2->subject7,OTDA,0.5395
OnHWeq:OnHW_equations_R->OnHW_equations_L,CoTMix,0.3338641189
hhar:a->b,InceptionDANN,0.6257521059000001
wisdm:5->1,InceptionCDAN,0.4166666667
har:7->13,VRADA,0.7272727273
mfd:1->2,OTDA,0.4783573807
OnHWeq:OnHW_equations_R->OnHW_equations_L,SASA,0.3529723992
ptbXLecg:0->3,InceptionRain,0.4415584416
wisdm:21->31,CoTMix,0.7183098592
cwrBearing:3->0,InceptionMix,0.8438998402000001
ford:FordA->FordB,CoTMix,0.512345679
mfd:0->1,Inception,0.4539400666
ptbXLecg:2->1,VRADA,0.6806903991000001
sportsActivities:p1->p8,VRADA,0.2324561404
hhar:g->h,OTDA,0.41066997520000004
ultrasoundMuscleContraction:subject3->subject5,CoDATS,0.359
ptbXLecg:0->3,Inception,0.7402597403000001
sleepStage:7->18,Inception,0.5300353357
sportsActivities:p5->p6,InceptionCDAN,0.6973684211000001
hhar:c->d,InceptionDANN,0.5718157182
ultrasoundMuscleContraction:subject2->subject7,VRADA,0.5395
mfd:2->1,Inception,0.8834628191
ford:FordB->FordA,InceptionMix,0.4840909091
hhar:i->a,VRADA,0.4101876676
har:12->16,VRADA,0.4090909091
ultrasoundMuscleContraction:subject2->subject7,InceptionDANN,0.4605
sleepStage:1->16,Inception,0.5984496124
har:7->13,OTDA,0.4747474747
ptbXLecg:0->1,InceptionCDAN,0.6860841424
mfd:0->3,InceptionCDAN,0.6692563818
mfd:1->0,InceptionSASA,0.4950055494
OnHWeq:OnHW_equations_R->OnHW_equations_L,VRADA,0.4538216561
miniTimeMatch:FR1->AT1,CoDATS,0.6583506584000001
ptbXLecg:0->1,InceptionRain,0.6440129450000001
cwrBearing:0->3,CoDATS,0.8302770191000001
sportsActivities:p1->p8,Raincoat,0.7017543860000001
ptbXLecg:0->2,VRADA,0.5942408377
mfd:1->0,InceptionRain,0.4495005549
har:6->23,CoTMix,0.9107142857
mfd:0->1,SASA,0.5083240844
hhar:g->h,InceptionRain,0.5930521092000001
har:6->23,Raincoat,0.9107142857
ultrasoundMuscleContraction:subject2->subject7,SASA,0.5365
miniTimeMatch:FR2->AT1,Inception,0.5107415107000001
hhar:a->b,CoDATS,0.6678700361000001
cwrBearing:3->0,InceptionSASA,0.6158763985
mfd:0->3,VRADA,0.4539400666
sportsActivities:p5->p6,CoDATS,0.399122807
cwrBearing:0->1,InceptionDANN,0.8984126984
miniTimeMatch:FR1->FR2,CoDATS,0.8326403326
wisdm:21->31,InceptionRain,0.6478873239
wisdm:5->1,VRADA,0.6666666667000001
ford:FordA->FordB,InceptionDANN,0.49382716050000003
ultrasoundMuscleContraction:subject2->subject7,Inception,0.5395
mfd:0->1,InceptionRain,0.7169811321
wisdm:3->5,InceptionDANN,0.4130434783
