dataset_name,classifier_name,accuracy
mfd:1->2,InceptionRain,0.8645948946
sleepStage:0->11,OTDA,0.5183044316000001
har:9->18,Raincoat,0.8454545455
ultrasoundMuscleContraction:subject5->subject3,Inception,0.5194701987
miniTimeMatch:DK1->FR1,Inception,0.7766805267
sleepStage:7->18,OTDA,0.3392226148
wisdm:5->1,CoTMix,0.8333333333
har:12->16,SASA,0.5909090909
ultrasoundMuscleContraction:subject7->subject2,Inception,0.7875000000000001
sleepStage:9->14,Inception,0.8364565588
mfd:1->3,InceptionDANN,0.9966703663
hhar:i->a,InceptionMix,0.6863270777
ptbXLecg:1->3,Inception,0.6753246753000001
sleepStage:0->11,InceptionMix,0.5587668593
hhar:e->f,Inception,0.7975206612
ultrasoundMuscleContraction:subject1->subject8,CoTMix,0.722375
mfd:0->3,SASA,0.5105438402
har:12->16,Inception,0.7454545455
ultrasoundMuscleContraction:subject5->subject4,SASA,0.49250000000000005
ptbXLecg:1->0,Inception,0.7205014749
OnHWeq:OnHW_equations_R->OnHW_equations_L,CoDATS,0.5843949045
sportsActivities:p1->p8,CoTMix,0.3245614035
cwrBearing:1->3,InceptionDANN,0.9543503707000001
sportsActivities:p4->p2,InceptionDANN,0.7543859649
wisdm:3->5,Raincoat,0.652173913
cwrBearing:2->0,InceptionMix,0.9067661161
ptbXLecg:1->3,InceptionDANN,0.5454545455
mfd:0->1,Raincoat,0.4761376249
wisdm:27->3,CoTMix,0.6724137931
OnHWeq:OnHW_equations_L->OnHW_equations_R,InceptionDANN,0.6763642479
cwrBearing:0->1,InceptionMix,0.9257936508
wisdm:7->30,InceptionCDAN,0.48780487800000005
cwrBearing:0->3,InceptionDANN,0.8458837300000001
ptbXLecg:0->2,Raincoat,0.5903141361
sleepStage:7->18,InceptionRain,0.7455830389
cwrBearing:3->0,Inception,0.8913159297000001
ultrasoundMuscleContraction:subject1->subject8,Raincoat,0.6637500000000001
wisdm:3->5,InceptionMix,0.8043478261
sleepStage:7->18,CoTMix,0.7455830389
wisdm:7->30,InceptionDANN,0.7317073171
sportsActivities:p4->p5,Inception,0.6184210526
hhar:i->a,InceptionSASA,0.4262734584
miniTimeMatch:FR2->DK1,InceptionSASA,0.38686763690000003
har:6->23,InceptionMix,0.9642857143
wisdm:21->31,InceptionDANN,0.3802816901
sportsActivities:p5->p6,InceptionSASA,0.39473684210000004
ptbXLecg:0->2,InceptionCDAN,0.6845549738000001
